# Constructed from biom file																							
#OTU ID	S1	S10	S11	S12	S13	S15	S16	S17	S18	S2	S20	S21	S22	S23	S24	S3	S4	S5	S6	S7	S8	S9	Taxonomy
70	11	887	184	180	32	64	15	3	26	39	910	112	390	427	366	7	10	31	7	141	384	651	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
71	543	0	0	0	1134	153	616	233	359	307	28	0	0	33	0	326	669	116	202	28	0	88	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
72	201	205	98	63	234	662	712	206	351	201	124	26	39	51	36	330	655	47	155	59	198	130	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
73	370	118	389	270	189	187	126	147	180	434	106	410	257	161	79	168	159	259	176	209	212	102	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae
74	151	445	0	8	83	58	228	53	336	401	290	12	11	533	163	88	243	30	97	130	114	1222	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
75	389	0	0	0	954	74	1116	117	197	280	0	0	0	0	0	695	526	224	106	0	0	0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
76	501	0	73	54	296	608	368	111	142	215	43	0	0	144	17	483	285	289	533	449	24	35	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
77	0	301	77	91	82	0	0	0	0	33	748	16	35	1814	31	0	0	0	0	200	133	1106	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
78	208	156	0	0	374	231	485	56	538	663	179	0	0	154	141	103	453	174	324	36	75	296	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Thermomonosporaceae; g__Actinomadura
79	0	738	279	539	0	0	0	0	0	0	539	94	534	720	36	0	0	125	0	443	277	306	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
80	0	673	97	92	0	0	0	0	0	0	696	172	241	704	378	0	0	0	0	143	859	565	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
81	622	0	462	373	467	80	71	64	138	416	0	158	69	166	33	413	211	310	210	122	152	75	k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__
82	0	356	262	708	0	0	0	0	0	0	439	191	391	506	76	0	0	0	0	528	695	411	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
83	103	83	104	112	233	263	216	164	351	144	115	183	174	305	178	538	435	87	302	213	131	113	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Reyranella; s__massiliensis
84	308	0	53	57	187	183	197	390	482	260	95	35	38	0	0	200	281	702	773	130	74	94	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
85	0	841	390	422	0	0	0	0	0	0	315	399	971	60	140	0	0	0	0	88	671	222	k__Bacteria; p__Actinobacteria
86	35	76	22	53	67	419	573	254	947	399	98	35	106	104	54	212	473	0	309	26	61	123	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__sulfonivorans
87	60	199	370	306	56	44	46	50	134	44	408	200	342	490	90	144	214	45	88	352	203	493	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
88	321	47	396	287	198	75	107	87	97	129	104	273	263	337	120	144	80	159	162	580	179	192	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
89	0	1295	0	0	0	0	38	0	24	0	755	0	148	358	1333	0	97	0	13	0	82	169	k__Bacteria
90	22	241	65	508	36	12	281	0	37	421	477	80	298	319	51	55	839	0	38	51	350	117	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__JG30-KF-AS9; f__; g__; s__
91	0	429	418	436	0	0	0	0	0	0	552	437	602	198	159	0	0	0	0	230	571	246	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
92	975	0	89	61	929	204	106	158	357	164	51	42	63	46	0	271	304	149	244	0	19	29	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
93	30	303	575	308	0	33	0	50	24	0	246	200	452	139	57	67	30	116	41	897	490	177	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__occulta
94	81	231	203	88	65	170	207	165	151	62	406	52	182	362	194	162	286	220	112	230	92	442	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae
95	97	564	176	152	57	0	26	0	0	150	285	99	185	439	252	39	12	26	23	578	551	394	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
96	429	196	67	32	591	3	76	29	72	411	208	11	58	593	282	16	73	0	25	232	309	378	k__Bacteria
97	33	255	185	209	71	23	159	16	34	66	227	416	407	244	340	57	82	0	29	462	498	257	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
98	0	509	49	112	0	0	0	0	0	0	447	49	75	1338	56	0	0	0	0	131	137	1156	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__
99	283	0	0	0	421	345	312	246	524	420	19	0	0	78	13	335	300	98	544	25	4	37	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
100	143	0	0	0	170	243	323	369	386	72	31	0	0	134	0	619	499	693	309	0	0	0	k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__
101	74	92	84	36	50	367	197	300	472	64	61	79	139	97	33	342	291	260	592	159	92	54	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
102	0	248	124	74	99	109	333	207	375	65	111	152	228	280	335	134	297	117	120	101	306	114	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
