;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Permanent;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal;Seasonal
;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry;Rainy;Rainy;Dry;Dry
;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;HA;Soil;AH;Soil
;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02;P01;P01;P01;P01;P03;P03;P03;P03;P02;P02;P02;P02
Time;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts;Counts
0.396;176.00;50976.00;350.00;2313.00;3568.00;4151.00;0.00;402.00;1494.00;12098.00;0.00;159.00;164.00;193.00;0.00;174.00;358.00;181.00;6866.00;0.00;1073.00;36497.00;0.00;183.00
0.402;0.00;52335.00;160.00;1677.00;4649.00;3230.00;0.00;222.00;1697.00;12550.00;0.00;157.00;181.00;890.00;0.00;343.00;164.00;0.00;6140.00;0.00;1945.00;37287.00;0.00;620.00
0.408;153.00;51732.00;0.00;1887.00;4120.00;3693.00;0.00;255.00;1654.00;12044.00;0.00;175.00;222.00;510.00;0.00;335.00;351.00;0.00;6553.00;0.00;1808.00;35200.00;157.00;549.00
0.413;191.00;52359.00;311.00;2129.00;4180.00;3604.00;0.00;370.00;1888.00;11595.00;326.00;152.00;179.00;472.00;0.00;652.00;339.00;0.00;6342.00;0.00;1778.00;36445.00;0.00;551.00
0.419;0.00;51933.00;157.00;1485.00;4266.00;4051.00;0.00;0.00;1573.00;12186.00;0.00;323.00;179.00;688.00;0.00;157.00;155.00;0.00;6714.00;151.00;1227.00;37769.00;0.00;600.00
0.425;0.00;51813.00;381.00;1530.00;4602.00;2578.00;0.00;227.00;1940.00;10322.00;160.00;153.00;0.00;511.00;0.00;165.00;542.00;0.00;6222.00;0.00;1284.00;35832.00;169.00;190.00
0.431;0.00;49619.00;233.00;2010.00;4239.00;2998.00;0.00;0.00;1324.00;12640.00;219.00;0.00;0.00;797.00;0.00;374.00;0.00;0.00;6146.00;0.00;687.00;34433.00;0.00;188.00
0.436;185.00;50245.00;338.00;1348.00;4481.00;2649.00;185.00;154.00;1435.00;11626.00;0.00;0.00;158.00;345.00;0.00;0.00;347.00;0.00;6693.00;0.00;1411.00;36192.00;0.00;521.00
0.442;207.00;50341.00;214.00;1592.00;3823.00;2957.00;0.00;192.00;1750.00;12736.00;158.00;0.00;363.00;863.00;0.00;205.00;152.00;0.00;5784.00;0.00;1301.00;33695.00;0.00;331.00
0.448;151.00;50919.00;229.00;1691.00;4214.00;2461.00;0.00;200.00;1198.00;11873.00;163.00;153.00;198.00;258.00;0.00;0.00;0.00;0.00;6424.00;0.00;1689.00;32935.00;0.00;214.00
0.453;0.00;50564.00;415.00;1563.00;4331.00;2664.00;0.00;308.00;1846.00;10609.00;0.00;185.00;174.00;371.00;165.00;0.00;507.00;0.00;6698.00;0.00;1088.00;34181.00;0.00;556.00
0.459;0.00;48761.00;543.00;1400.00;3742.00;2680.00;0.00;159.00;1764.00;10632.00;184.00;0.00;0.00;158.00;0.00;0.00;172.00;0.00;6671.00;0.00;1714.00;32516.00;0.00;337.00
0.465;0.00;49140.00;227.00;1757.00;3011.00;3349.00;0.00;153.00;1582.00;11166.00;159.00;0.00;0.00;491.00;0.00;0.00;789.00;0.00;6886.00;0.00;1397.00;31849.00;0.00;402.00
0.471;0.00;50366.00;229.00;1771.00;4032.00;2512.00;0.00;0.00;1233.00;11572.00;153.00;0.00;0.00;0.00;0.00;156.00;496.00;188.00;6374.00;0.00;813.00;31586.00;0.00;158.00
0.476;0.00;50984.00;473.00;2040.00;4068.00;2413.00;0.00;200.00;1748.00;11761.00;0.00;333.00;156.00;484.00;0.00;0.00;664.00;0.00;6262.00;0.00;1623.00;32922.00;0.00;0.00
0.482;0.00;47107.00;158.00;1629.00;3655.00;3314.00;0.00;228.00;1044.00;10906.00;0.00;0.00;328.00;399.00;0.00;151.00;165.00;0.00;6545.00;0.00;1069.00;29888.00;176.00;427.00
0.488;0.00;47375.00;208.00;952.00;4426.00;2258.00;0.00;151.00;1643.00;12257.00;0.00;167.00;165.00;222.00;0.00;486.00;253.00;0.00;5415.00;0.00;1427.00;31106.00;0.00;558.00
0.494;174.00;49237.00;597.00;1362.00;4233.00;2381.00;0.00;186.00;1586.00;11760.00;311.00;156.00;326.00;0.00;0.00;190.00;0.00;0.00;6019.00;0.00;1502.00;30893.00;0.00;446.00
0.499;0.00;47534.00;339.00;1949.00;3119.00;2645.00;0.00;0.00;1173.00;12790.00;153.00;0.00;0.00;362.00;168.00;151.00;237.00;0.00;5298.00;0.00;879.00;29889.00;0.00;502.00
0.505;0.00;47445.00;176.00;1349.00;3335.00;2947.00;0.00;229.00;1485.00;10906.00;0.00;0.00;338.00;341.00;0.00;160.00;746.00;0.00;6474.00;0.00;1333.00;30334.00;0.00;384.00
0.511;0.00;47386.00;278.00;1420.00;3577.00;2893.00;0.00;0.00;1610.00;10456.00;345.00;0.00;151.00;176.00;0.00;159.00;171.00;0.00;5672.00;0.00;1202.00;28746.00;184.00;361.00
0.516;0.00;46681.00;0.00;1755.00;2892.00;2666.00;0.00;165.00;2149.00;11108.00;362.00;346.00;0.00;573.00;0.00;178.00;176.00;0.00;6108.00;0.00;1223.00;29761.00;0.00;488.00
0.522;0.00;45289.00;335.00;1833.00;4084.00;2205.00;0.00;0.00;1518.00;11401.00;0.00;155.00;0.00;0.00;0.00;0.00;0.00;0.00;5189.00;0.00;1260.00;29795.00;0.00;327.00
0.528;0.00;46921.00;244.00;1535.00;3441.00;2302.00;0.00;0.00;2016.00;11445.00;170.00;0.00;0.00;484.00;0.00;197.00;396.00;0.00;5616.00;0.00;1010.00;28649.00;0.00;521.00
